common_name,species_group
Floreana tree-Finch,Birds
Benton County cave crayfish,Crustaceans
Big Sandy crayfish,Crustaceans
Slenderclaw crayfish,Crustaceans
Guyandotte River crayfish,Crustaceans
Hell Creek Cave crayfish,Crustaceans
Bactrian camel,Mammals
Slender campeloma,Snails
Imperial woodpecker,Birds
Ivory-billed woodpecker,Birds
Gray wolf,Mammals
Gray wolf,Mammals
Mexican wolf,Mammals
Mexican wolf,Mammals
Red wolf,Mammals
Red wolf,Mammals
Simien fox,Mammals
No common name,Corals
Chiltan  markhor,Mammals
Straight-horned markhor,Mammals
Pyrenean ibex,Mammals
Walia ibex,Mammals
Puerto Rican nightjar,Birds
Hispid hare,Mammals
Cabrera's hutia,Mammals
Large-eared hutia,Mammals
Dwarf hutia,Mammals
Little earth hutia,Mammals
Red siskin,Birds
Loggerhead sea turtle,Reptiles
Loggerhead sea turtle,Reptiles
Loggerhead sea turtle,Reptiles
Loggerhead sea turtle,Reptiles
Loggerhead sea turtle,Reptiles
Loggerhead sea turtle,Reptiles
Loggerhead sea turtle,Reptiles
Loggerhead sea turtle,Reptiles
Loggerhead sea turtle,Reptiles
Round Island casarea boa,Reptiles
Beaver ,Mammals
Asian golden  cat,Mammals
Zuni bluehead Sucker,Fishes
Santa Ana sucker,Fishes
Warner sucker,Fishes
Cheer pheasant,Birds
Gunnison sage-grouse,Birds
Jentink's duiker,Mammals
South Island Hector's dolphin,Mammals
Maui dolphin,Mammals
Northern white rhinoceros,Mammals
Southern white rhinoceros,Mammals
Tana River mangabey,Mammals
White-collared mangabey,Mammals
Diana monkey,Mammals
Red-bellied monkey,Mammals
Red-eared nose-spotted monkey,Mammals
L'hoest's monkey,Mammals
Visayan deer,Mammals
Swamp deer,Mammals
Bactrian deer,Mammals
Barbary deer,Mammals
Corsican red deer,Mammals
Kashmir stag,Mammals
McNeill's deer,Mammals
Shou,Mammals
Yarkand deer,Mammals
Eld's brow-antlered Deer,Mammals
Shansi sika deer,Mammals
Ryukyu sika deer,Mammals
South China sika deer,Mammals
North China sika deer,Mammals
Formosan sika deer,Mammals
Pig-footed bandicoot,Mammals
Esmeraldas woodstar,Birds
Thin-spined porcupine,Mammals
Piping Plover,Birds
Piping Plover,Birds
Western snowy plover,Birds
Oahu elepaio,Birds
Shortnose Sucker,Fishes
Cui-ui,Fishes
June sucker,Fishes
Green sea turtle,Reptiles
Green sea turtle,Reptiles
Green sea turtle,Reptiles
Green sea turtle,Reptiles
Green sea turtle,Reptiles
Green sea turtle,Reptiles
Green sea turtle,Reptiles
Green sea turtle,Reptiles
Green sea turtle,Reptiles
Green sea turtle,Reptiles
Green sea turtle,Reptiles
Virgin Islands tree boa,Reptiles
Chinchilla,Mammals
White-nosed saki,Mammals
Southern bearded saki,Mammals
Pink fairy armadillo,Mammals
Grenada hook-billed kite,Birds
Cuba hook-billed kite,Birds
Laurel dace,Fishes
Maned wolf,Mammals
St. Lucia Forest thrush,Birds
Salt Creek Tiger beetle,Insects
Ohlone tiger beetle,Insects
Miami tiger beetle,Insects
Oriental white stork,Birds
Robber Baron Cave Meshweaver,Arachnids
Madla Cave Meshweaver,Arachnids
Braken Bat Cave meshweaver,Arachnids
